ingredients_text,ingredients_tags,ingredients_analysis_tags,additives,additives_tags,additives_en,additives_n,allergens,allergens_en,nova_group,nutriscore_score,nutriscore_grade,serving_size,serving_quantity,energy-kcal_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,fiber_100g,salt_100g,sodium_100g
,,"en:vegan,en:vegetarian",,,,,,,,,not-applicable,15 g,15.0,354.0,6.0,0.3,8.2,0.2,69.8,,0.8,0.32
,,"en:vegan,en:vegetarian",,,,,,,,,unknown,30 g,30.0,378.0,10.0,2.7,7.0,0.8,58.0,10.0,1.5,0.6
"Sugar, glucose syrup, peanuts (30%)","en:sugar,en:added-sugar,en:disaccharide,en:glucose-syrup,en:monosaccharide,en:glucose,en:peanut,en:nut","en:palm-oil-free,en:vegan,en:vegetarian",,,,0.0,,,4.0,22.0,e,,,443.0,3.9,2.5,72.1,51.5,7.7,1.9,0.0,0.0
"HER SUBSTANCES/NAHRSTOFFE UND SONSTIGE STOFFE/ ANDERE STOFFEN/NUTRIENTES Y OTRAS SUSTANCIAS NUTRIMENTS ET AUTRES SUBSTANCES/NUTRIENTI E ALTRE SOSTANZE per dose giomaliera (-8g. 2.s Niacin/Niacine/Niacine daily dosage/pro Tagesdosis/ per dagelijkse desering/ per dosis data par d /2 Messlöffel/2 mantlepels/2 cucharas medidores/2 cuillères de me Creatine monohydrate/Kreatin Monohydrat/Creatine monohydraat/ Monohidrato de creatina/Créatine monohydrate/Creatina Monoidrato Beta-alanine/Beta-Alanin/Beta alanine / Beta alanina L-arginine AKG/L-Arginin AKG/L-arginina AKG Taurine/Taurin/Taurine Citrulline-L-malate/Citrullin-L-Malat/Citrulline-L-malaat/L-malato de citrulina / Citrulline L-malate/Citrullinama L-tyrosine/L-Tyrosin/L-tirosina Caffeine/Koffein/Cafeine/Cafeina/Caféine / Caffeina *300% nutrient reference value according to regulation (EU) 1169/2011./300% Nährstoffbezugswerte laut VO (EU) Nr 1169/2011 volgens de voedingsrichtlijn (EU) n. 1169/2011.7300% porcentaje de la cantidad de referencia con arreglo al reglamento (UE) no. 1169 de la quantité de référence au titre du règlement (UE) N° 1169/2011 par posologie quotidienne recommandée/300% percentuale omaliero di cui al regolamento (UE) n. 1169/2011 EAN: 4260640857341 dry and dark place, out of geschätzt und außerhalb der www Reichweite von Kindem aufbe buiten het licht en buiten een koele, droge plaats, het bereik van kinderen are alejado de la ley had a grey wa alcance de los niños X001FTU38R Best before end, batch number, see print.","en:her-substances,en:nahrstoffe-und-sonstige-stoffe,en:andere-stoffen,en:nutrientes-y-otras-sustancias-nutriments-et-autres-substances,en:nutrienti-e-altre-sostanze-per-dose-giomaliera,en:8g,en:2-s-niacin,en:niacine,en:niacine-daily-dosage,en:pro-tagesdosis,en:per-dagelijkse-desering,en:per-dosis-data-par-d,en:2-messloffel,en:2-mantlepels,en:2-cucharas-medidores,en:2-cuilleres-de-me-creatine-monohydrate,en:kreatin-monohydrat,en:creatine-monohydraat,en:monohidrato-de-creatina,en:creatine-monohydrate,en:creatine,en:creatina-monoidrato-beta-alanine,en:beta-alanin,en:beta-alanine,en:beta-alanina-l-arginine-akg,en:l-arginin-akg,en:l-arginina-akg-taurine,en:taurin,en:taurine-citrulline-l-malate,en:citrullin-l-malat,en:citrulline-l-malaat,en:l-malato-de-citrulina,en:citrulline-l-malate,en:citrullinama-l-tyrosine,en:l-tyrosin,en:l-tirosina-caffeine,en:koffein,en:cafeine,en:cafeina,en:caffeina-300-nutrient-reference-value-according-to-regulation,en:1169,en:2011,en:nahrstoffbezugswerte-laut-vo,en:nr-1169,en:2011-volgens-de-voedingsrichtlijn,en:n,en:porcentaje-de-la-cantidad-de-referencia-con-arreglo-al-reglamento,en:no,en:1169-de-la-quantite-de-reference-au-titre-du-reglement,en:n-1169,en:2011-par-posologie-quotidienne-recommandee,en:percentuale-omaliero-di-cui-al-regolamento,en:2011-ean,en:out-of-geschatzt-und-ausserhalb-der-www-reichweite-von-kindem-aufbe-buiten-het-licht-en-buiten-een-koele,en:droge-plaats,en:het-bereik-van-kinderen-are-alejado-de-la-ley-had-a-grey-wa-alcance-de-los-ninos-x001ftu38r-best-before-end,en:batch-number,en:see-print,en:ue,en:4260640857341-dry-and-dark-place","en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",,en:e369,E369 - Alanin,1.0,,,,,unknown,,,,,,,,,,,
,,"en:vegan,en:vegetarian",,,,,,,,,unknown,100.0g,100.0,423.0,8.7,1.8,4.1,0.5,80.0,13.4,,
"INGRÉDIENTS 100% NATURELS POMME, ROOIBOS VERT, VERVEINE&quot;, ARÓME NATUREL, ÉCORCES D'ORANGE, FLEURS DE SOUCI&quot;, VERVEINE ENTIÈRE*, FEUILLES DE MURE&quot;, FRAMBOISE, PASSIFLORE&quot;. CASSIS","fr:ingredients-100-naturels-pomme,fr:rooibos-vert,en:verbena,en:herb,en:natural-flavouring,en:flavouring,en:orange-zest,en:fruit,en:citrus-fruit,en:orange,fr:fleurs-de-souci,en:blackberry-leaf,en:condiment,en:aromatic-leaf,en:raspberry,en:berries,fr:passiflore,en:blackcurrant","en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",,,,0.0,,,4.0,,unknown,100.0g,100.0,,,,,,,,,
"proteine isolate di soia, aromi, proteine isolate di pisello, proteine concentrate di riso, proteine in polvere di semi di girasole, proteine di semi di zucca, farina di amaranto, cannella in polvere, sucralosio, glicosidi steviolici da stevia","en:soy-protein-isolate,en:protein,en:plant-protein,en:soy-protein,en:flavouring,en:pea-protein-isolate,en:pea-protein,en:rice-protein,en:sunflower-protein,it:proteine-di-semi-di-zucca,en:e123,en:cinnamon-powder,en:condiment,en:spice,en:cinnamon,en:e955,en:e960a","en:palm-oil-free,en:vegan-status-unknown,en:vegetarian-status-unknown",,"en:e955,en:e960a","E955 - Sucralose,E960a - Steviol glycosides from Stevia",2.0,,,4.0,20.0,e,30g,30.0,380.0,2.67,0.333,13.0,1.67,73.3,7.33,5.83,2.33
,,,,,,,,,,8.0,c,35 g,35.0,370.0,5.6,1.4,15.1,8.7,57.0,33.7,1.7,0.68
,,"en:vegan,en:vegetarian",,,,,,,,,unknown,,,210.0,7.73,1.2,17.6,3.024,13.35,7.35,2.375,0.95
"100% Erythritol, un producto NON GMO, apto para vegetarianos y veganos, libre de soya y gluten, apto para diabeticos, usalo para horn","es:erythritol,es:un-producto-non-gmo,es:y,en:gluten,es:apto-para-diabeticos,es:usalo-para-horn","en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",,,,0.0,,,4.0,,not-applicable,1 portion (10 g),10.0,430.0,0.0,,0.0,,95.0,,0.175,0.07
,,"en:vegan,en:vegetarian",,,,,,,,,unknown,500g,500.0,386.0,13.0,1.5,5.1,1.0,53.0,0.5,1.65,0.66
"Soya protein isolate (40,8%), cookie crumbs (wheat flour (gluten), rice flour, oat flour (gluten), barley malt flour, sugar, cocoa, corn flour, salt, emulsifier (soya lecithin), fructose, inulin, oat fibre (gluten). polydextrose, soya oil thickeners (quar gum powde, santhan gum, carragenan, pectin), oat bran gluten), milk protein concentrate (1.9 %), flavourings (lactose), calcium citrate, dextrose, potassium phosphate, sodium chloride, anti-caking agent (silicon dioxide), sweeteners (sucralose, acesulfame-K), rapeseed oil, magnesium oxide, ginger root powder, L-ascorbic acid, ferrous fumarate, DL-alpha tocopheryl acetate, liquorice root powder, nicotinamide, papaya powder, zinc oxide, cupric gluconate, retinyl palmitate, D-calcium pantothenate, cholecalciferol, pyridoxine hydrochloride, cyanocobalamin, manganese carbonate, riboflavin, thiamin hydrochloride, ascorbyl palmitate, pteroylmonoglutamic acid, Dl-alpha tocopherol, potassium iodide, sodium selenite, D-biotin. CONTAINS GLUTEN, MILK AND SOYA. SOUTH AFRICA, LTD.","en:soy-protein-isolate,en:protein,en:plant-protein,en:soy-protein,en:cookie-crumbs,en:milk-protein-concentrate,en:animal-protein,en:milk-proteins,en:flavouring,en:e333,en:dextrose,en:added-sugar,en:monosaccharide,en:glucose,en:e340,en:sodium-chloride,en:minerals,en:sodium,en:anti-caking-agent,en:sweetener,en:rapeseed-oil,en:oil-and-fat,en:vegetable-oil-and-fat,en:e530,en:ginger-powder,en:condiment,en:spice,en:ginger,en:e300,en:iron-fumarate,en:iron,en:dl-alpha-tocopheryl-acetate,en:vitamin-e,en:liquorice-root,en:plant,en:liquorice,en:e375,en:papaya,en:fruit,en:zinc-oxide,en:zinc,en:copper-gluconate,en:copper,en:retinyl-palmitate,en:vitamins,en:vitamin-a,en:d-calcium-pantothenate,en:cholecalciferol,en:vitamin-d,en:pyridoxine-hydrochloride,en:vitamin-b6,en:cyanocobalamin,en:vitamin-b12,en:manganese-carbonate,en:manganese,en:e101,en:thiamin-hydrochloride,en:thiamin,en:e304i,en:e304,en:folic-acid,en:folate,en:e307c,en:potassium-iodide,en:salt,en:iodine,en:sodium-selenite,en:selenium,en:d-biotin,en:biotin,en:south-africa,en:ltd,en:wheat-flour,en:cereal,en:flour,en:wheat,en:cereal-flour,en:rice-flour,en:rice,en:oat-flour,en:oat,en:barley-malt-flour,en:barley,en:barley-flour,en:sugar,en:disaccharide,en:cocoa,en:corn-flour,en:corn,en:emulsifier,en:fructose,en:inulin,en:fiber,en:vegetable-fiber,en:oat-fibre,en:e1200,en:soya-oil-thickeners,en:oat-bran-gluten,en:e551,en:e955,en:e950,en:soya-lecithin,en:e322,en:e322i,en:quar-gum-powde,en:santhan-gum,en:carragenan,en:e440a","en:may-contain-palm-oil,en:non-vegan,en:vegetarian-status-unknown",,"en:e1200,en:e304,en:e304i,en:e307,en:e322,en:e322i,en:e440,en:e551,en:e950,en:e955","E1200 - Polydextrose,E304 - Fatty acid esters of ascorbic acid,E304i - Ascorbyl palmitate,E307 - Alpha-tocopherol,E322 - Lecithins,E322i - Lecithin,E440 - Pectins,E551 - Silicon dioxide,E950 - Acesulfame k,E955 - Sucralose",8.0,"en:gluten,en:milk,en:soybeans",,4.0,,not-applicable,25g,25.0,354.0,9.0,2.0,20.0,9.4,39.0,20.0,1.9,0.76
"Pâtes à l'épeautre - Rêve de Neptune - Spelt neptunes dream (500g e) Ingrédients Ingrediënten speltbloem*, tomaat*, spinazie*, biet&quot;, spirulina* farine d'épeautre *, tomates *, épinards *, betteraves *, spiruline *","fr:pates-a-l-epeautre,fr:reve-de-neptune,fr:spelt-neptunes-dream,fr:ingredients-ingredienten-speltbloem,fr:tomaat,fr:spinazie,fr:biet,fr:spirulina-farine-d-epeautre,en:tomato,en:vegetable,en:fruit-vegetable,en:spinach,en:leaf-vegetable,en:beetroot,en:root-vegetable,en:taproot-vegetable,en:spirulina,en:algae,fr:e","en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",,,,0.0,,,,4.0,c,,,240.0,1.6,0.3,47.0,0.2,8.3,,1.14,0.456
,,"en:vegan,en:vegetarian",,,,,,,,,unknown,15.0g,15.0,383.333333333333,5.0,1.66666666666667,43.3333333333333,,46.6666666666667,23.3333333333333,,
100% Finest Durum Wheat Pasta: Ingredients: Durum Wheat Semolina,"en:finest-durum-wheat-pasta,en:durum-wheat-semolina,en:cereal,en:wheat,en:durum-wheat,en:semolina,en:ingredients","en:palm-oil-content-unknown,en:vegan,en:vegetarian",,,,0.0,,,,-3.0,a,30 g,30.0,371.0,2.4,1.0,3.2,1.3,83.0,,0.0,0.0
,,,,,,,,,,,unknown,10.0g,10.0,359.000015258789,,,,,90.0,,,
,,"en:vegan,en:vegetarian",,,,,,,,,not-applicable,100 g,100.0,353.333333333333,4.66666666666667,,4.66666666666667,,57.3333333333333,,,
"Sweeteners: erythritol (E-968) and steviol glycosides from stevia (E-960a) (0,3%).","en:sweetener,en:e960a,en:e968","en:palm-oil-free,en:vegan,en:vegetarian",,"en:e960a,en:e968","E960a - Steviol glycosides from Stevia,E968 - Erythritol",2.0,,,4.0,,not-applicable,3.41 g,3.41,,,,,,,,,
,,,,,,,,,,,unknown,30.0g,30.0,116.0,1.28999996185303,0.800000011920929,2.5,0.800000011920929,23.7999992370605,0.5,,
"Austin, TX 78704 2311 S 5th St. #113 Sodium Medium Chain Triglycerides 7g sed Ga a 2000 calorie diet. &quot;Percent Dailyalues a &quot;Daily Value not estaplished. CER INGREDIENTS: Inulin, sodium cascinate, silicon dioxide, sunflower lecithin Contains coconut, milk Distributed by: Opportuniteas Inc. portuniteas.com","en:austin,en:tx-78704-2311-s-5th-st,en:113-sodium-medium-chain-triglycerides-7g-sed-ga-a-2000-calorie-diet,en:percent-dailyalues-a-daily-value-not-estaplished,en:cer-ingredients,en:sodium-cascinate,en:e551,en:sunflower-lecithin,en:e322,en:e322i,en:coconut,en:fruit,en:milk-distributed-by,en:inulin,en:fiber,en:vegetable-fiber,en:opportuniteas-inc,en:portuniteas-com","en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",,"en:e322,en:e322i","E322 - Lecithins,E322i - Lecithin",1.0,,,4.0,14.0,d,10 g,10.0,700.0,70.0,70.0,20.0,0.0,0.0,20.0,0.25,0.1
,,,,,,,,,,,unknown,,,604.0,54.5,,4.4,,12.7,,,
,,"en:vegan,en:vegetarian",,,,,,,,17.0,e,,,378.0,0.4,0.3,1.3,0.4,91.0,2.78,2.9,1.16
Organic Matcha Green Tea powder,"en:matcha,en:plant,en:tea,en:green-tea","en:palm-oil-free,en:vegan,en:vegetarian",,,,0.0,,,1.0,0.0,a,2 tablets,,,,,,,,,,
"Oetker 4 Portionen, Milch & Zucker zugeben Original Pudding Vanille Geschmack NUTRI-SCC AB zubereitetes F","en:oetker-4-portionen,en:milch-and-zucker-zugeben-original-pudding-vanille-geschmack-nutri-scc-ab-zubereitetes-f","en:palm-oil-content-unknown,en:vegan,en:vegetarian",,,,0.0,,,,,unknown,,,,,,,,,,,
,,,,,,,,,,,unknown,1.0g,1.0,500.0,,,,,,,,
"Organic Flaxseed Oil, Organic Coconut Oil, Organic Avocado Oil, Organic Sunflower Oil, Organic Pumpkin Seed Oil, Organic Sacha Inchi Seed Oil, Organic Extra Virgin Olive Oil, Organic Sesame Seed Oil, Organic Black Cumin Seed Oil, Organic Evening Primrose Oil, Organic Sea Buckthorn Berry Oil, Organic Fenugreek Seed Extract, Organic Turmeric Root Extract, Organic Rosemary Leaf Extract, Organic Clove Bud Extract, Organic Thyme Leaf Extract, Organic Oregano Leaf Extract, Organic Ginger Root Extract, Organic Black Pepper Fruit Extract, Organic Cardamom Seed Extract, Organic Cumin Seed Extract, Organic Coriander Seed Extract, Organic Fennel Seed Extract, Organic Fenugreek Seed Extract, Organic Turmeric Root Extract, Organic Rosemary Leaf Extract, Organic Clove Bud Extract, Organic Thyme Leaf Extract, Organic Oregano Leaf Extract, Organic Ginger Root Extract, Organic Black Pepper Fruit Extract, Organic Cardamom Seed Extract, Organic Cumin Seed Extract, Organic Coriander Seed Extract, Organic Fennel Seed Extract","en:linseed-oil,en:oil-and-fat,en:vegetable-oil-and-fat,en:vegetable-oil,en:coconut-oil,en:avocado-oil,en:sunflower-oil,en:pumpkin-seed-oil,en:sacha-inchi-seed-oil,en:extra-virgin-olive-oil,en:olive-oil,en:virgin-olive-oil,en:sesame-oil,en:black-cumin-seed-oil,en:evening-primrose-oil,en:sea-buckthorn-berry-oil,en:fenugreek-seed,en:condiment,en:seed,en:spice,en:fenugreek,en:turmeric-root-extract,en:rosemary,en:herb,en:clove-bud-extract,en:thyme,en:oregano,en:ginger-extract,en:ginger,en:black-pepper-fruit-extract,en:cardamom-seed,en:cardamom,en:cumin-seeds,en:cumin,en:coriander-seed,en:coriander,en:fennel-seed","en:palm-oil-free,en:vegan-status-unknown,en:vegetarian-status-unknown",,,,0.0,,,,,unknown,,,398.0,7.0,1.4,3.5,1.0,77.0,,2.0,0.8
,,,,,,,,,,27.0,e,,,139.0,1.2,0.2,28.0,22.0,2.3,,7.3,2.92
,,,,,,,,,,,unknown,,,,,,,,,,,
"Vitamin D3, Vitamin K2, Microcrystalline cellulose, Modified cellulose capsule, Magnesium stearate, Silicon dioxide","en:cholecalciferol,en:vitamin-d,en:menaquinone,en:vitamins,en:vitamin-k,en:e460i,en:e460,en:modified-cellulose-capsule,en:e572,en:e551","en:palm-oil-free,en:vegan-status-unknown,en:vegetarian-status-unknown",,"en:e460,en:e460i,en:e572","E460 - Cellulose,E460i - Microcrystalline cellulose,E572 - Magnesium stearate",2.0,,,4.0,,unknown,92.0g,92.0,120.00001,3.58695644444444,2.5,15.97826,15.000001,5.76087,1.0869565,0.21739131,0.086956524
,,,,,,,,,,,unknown,8.0g,8.0,200.0,,,28.7499994039536,5.00000007450581,1.25000001862645,37.5,,
,,"en:vegan,en:vegetarian",,,,,,,,12.0,d,25 g,25.0,425.0,7.8,2.0,13.0,0.5,74.0,3.2,2.2,0.88
,,"en:vegan,en:vegetarian",,,,,,,,,unknown,,,,,,,,,,,
"maltodextrine,extrait de feuilles de thé vert 17% ,extrait de feuille de thé orange pekoe 4,7% , arôme, caféine en poudre , édulcorant ( glucoside de stéviol issu de stevia) , poudre de fleur d'hibiscus ( 0,06%) , extrait de graine de cardamole(0,06%)","en:maltodextrin,en:green-tea-leaf,en:plant,en:tea,en:green-tea,fr:extrait-de-feuille-de-the-orange-pekoe,en:flavouring,en:caffeine,en:sweetener,en:roselle-flower,fr:extrait-de-graine-de-cardamole,en:e960a","en:palm-oil-free,en:vegan-status-unknown,en:vegetarian-status-unknown",,en:e960a,E960a - Steviol glycosides from Stevia,1.0,,,4.0,2.0,b,,,363.0,0.0,0.0,82.0,5.9,8.7,,0.15,0.06
,,,,,,,,,,,unknown,,,,,,,,,,,
,,"en:vegan,en:vegetarian",,,,,,,,,unknown,50 ml,50.0,380.0,5.33333333333333,,5.33333333333333,,75.0,,,
Isolat de proteïnes de soja,"en:soy-protein-isolate,en:protein,en:plant-protein,en:soy-protein","en:palm-oil-free,en:vegan,en:vegetarian",,,,0.0,,,1.0,12.0,d,,,388.0,9.3,1.0,20.0,0.8,5.4,3.2,2.0,0.8
Bie Chlorella Biotiva Für Dich Tabletten / Tablets / Compresse / Comprimés Biotiva® Produkte werden unter strengen Qualitätskontrollen verarbeitet und schonend in Manufakturarbeit abgefüllt. So können wir die bestmögliche Qualität garantieren. / I prodotti Biotiva® vengono lavorati con severi controlli di qualità e accuratamente imbottigliati nei lavori di produzione. Quindi possiamo garantire la migliore qualità possibile. / Les produits Biotiva® sont soumis à des contrôles de qua stricts et soigneusement mis en bouteille lors des travaux de fabrication. Nous pouvo donc garantir la meilleure qualité possible. Inhalt: Chlorellapulver (gepresst)* / Chlorella powder (pressed)* / Polvere di clorella (pressata)*/ Poudre de chlorella (pressée)* *aus kontrolliert biologischem Anbau/ *certified organic/ *certificato biologico/*certifié biologique Verzehrempfehlung: / Daily dose/ Consigliato / Suggestion Bis zu 10 Tabletten täglich / Up to tablets daily / Fino a 10 compresse giorno / Jusqu'à 10 comprimés pa jour lährwerte / nutrition information Pro /per nergie / energy / energia / énergie 1270k,"fr:bie-chlorella-biotiva-fur-dich-tabletten,fr:tablets,fr:compresse,fr:comprimes-biotiva-produkte-werden-unter-strengen-qualitatskontrollen-verarbeitet-und-schonend-in-manufakturarbeit-abgefullt,fr:so-konnen-wir-die-bestmogliche-qualitat-garantieren,fr:i-prodotti-biotiva-vengono-lavorati-con-severi-controlli-di-qualita-e-accuratamente-imbottigliati-nei-lavori-di-produzione,fr:quindi-possiamo-garantire-la-migliore-qualita-possibile,fr:les-produits-biotiva-sont-soumis-a-des-controles-de-qua-stricts-et-soigneusement-mis-en-bouteille-lors-des-travaux-de-fabrication,fr:nous-pouvo-donc-garantir-la-meilleure-qualite-possible,fr:inhalt,fr:daily-dose,fr:consigliato,fr:suggestion-bis-zu-10-tabletten-taglich,fr:up-to-tablets-daily,fr:fino-a-10-compresse-giorno,fr:jusqu-a-10-comprimes-pa-jour-lahrwerte,fr:nutrition-information-pro,fr:per-nergie,fr:energy,fr:energia,fr:energie-1270k,fr:chlorellapulver,fr:chlorella-powder,fr:polvere-di-clorella,en:chlorella,en:algae,fr:aus-kontrolliert-biologischem-anbau,fr:certified,fr:certificato-biologico,fr:verzehrempfehlung,fr:gepresst,fr:pressata","en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",,,,0.0,,,,,unknown,,,,6.7,,,3.7,57.7,,,
,,,,,,,,,,,not-applicable,,,373.0,1.0,0.6,4.6,4.6,86.0,,0.63,0.252
,,,,,,,,,,,unknown,10.0g,10.0,350.0,,,,,90.0,,,
,,,,,,,,,,,unknown,3.0g,3.0,233.333333333333,,,53.3333341280619,,6.66666676600774,,,
"Sorbitol, Glycerin , Water, Carboxymethylcellulose sodium, Potassium sorbate","en:e420,en:e422,en:water,en:carboxymethylcellulose-sodium,en:e202","en:palm-oil-free,en:vegan-status-unknown,en:vegetarian-status-unknown",,"en:e202,en:e420,en:e422","E202 - Potassium sorbate,E420 - Sorbitol,E422 - Glycerol",3.0,,,4.0,,not-applicable,,,251.0,0.4,0.2,22.3,8.1,8.8,,0.11,0.044
Medjoul Dates,en:medjoul-dates,"en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",,,,0.0,,,,5.0,c,,,227.3,9.43,3.99,25.98,0.62,11.37,1.07,0.885,0.354
,,,,,,,,,,,unknown,8 g,8.0,375.0,0.0,0.0,87.5,0.0,0.0,0.0,0.312,0.125
,,,,,,,,,,,unknown,32.0g,32.0,371.0,4.5,1.8,6.8,4.1,74.0,2.5,,
,,"en:vegan,en:vegetarian",,,,,,,,,unknown,30.0g,30.0,150.0,,,40.0,,,,,
,,,,,,,,,,,unknown,,,,,,,,,,,
,,,,,,,,,,,unknown,1.5g,1.5,,,,,,,,,
"INGRÉDIENTS (3 gélules) : hydrolysats de collagène marin désodorisés (poisson) 900 mg, tunique d'origine végétale : hydroxypropylméthylcellulose, extrait de fruits d'acérola (Malpighia glabra) (240 mg) standardisée en vitamine C (60 mg, 75% des VNR*) (maltodextrine), D-alpha-tocophérol (Soja) (équivalent en vitamine E : 12 mg, 100% des VNR*), extrait de riz, B-carotène de Blakeslea trispora (0,72 mg de béta-carotène équivalent en vitamine A: 120 µg, 15% des VNR*). *Valeurs Nutrutionnels de Références. Origine végétale.","fr:ingredients,fr:tunique,fr:extrait-de-fruits-d-acerola,en:e300,en:e307a,en:rice-extract,en:extract,en:rice,en:vegetable-extract,fr:b-carotene-de-blakeslea-trispora,fr:valeurs-nutrutionnels-de-references,fr:3-gelules,fr:hydrolysats-de-collagene-marin-desodorises,en:e464,fr:malpighia-glabra,fr:vnr,en:maltodextrin,fr:0-72-mg-de-beta-carotene-equivalent-en-vitamine-a,fr:120-g","en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",,en:e464,E464 - Hydroxypropyl methyl cellulose,1.0,"en:fish,en:soybeans",,4.0,,not-applicable,30 g,30.0,377.0,4.33,1.33,5.67,3.33,80.0,,0.233,0.0933
,,"en:vegan,en:vegetarian",,,,,,,,15.0,d,0.76 g,0.76,25300.0,26.3,0.0,276.0,0.0,118.0,11800.0,39.5,15.8
,,,,,,,,,,4.0,c,,,118.0,4.3,1.2,17.1,12.7,2.7,,0.1,0.04
,,,,,,,,,,,unknown,39 g,39.0,359.0,2.56,,69.2,3.85,12.8,12.8,,
,,,,,,,,,,31.0,e,,,793.0,21.7,15.0,66.3,32.1,6.8,,0.68,0.272
"74,2 % d'isolat de protéines de pois. 15% de concentré de protéines de riz. mélange d'arômes (dextrose, acide (acide citrique), arôme naturel, arôme, colorant (beta-carotène), édulcorant (saccharine de sodium)), arôme naturel, épaississant (gomme de guar), arôme. colorant (bêta - carotène), édulcorant (sucralose). Ce produit contien 20 portions.","en:pea-protein-isolate,en:protein,en:plant-protein,en:pea-protein,en:rice-protein,fr:melange-d-aromes,en:natural-flavouring,en:flavouring,en:thickener,en:colour,en:sweetener,fr:ce-produit-contien-20-portions,en:dextrose,en:added-sugar,en:monosaccharide,en:glucose,en:acid,en:e412,en:beta-carotene-dye,en:e160a,en:e160ai,en:e955,en:e330,en:e954","en:may-contain-palm-oil,en:vegan,en:vegetarian",,"en:e160a,en:e160ai,en:e330,en:e412,en:e954,en:e955","E160a - Carotene,E160ai - Beta-carotene,E330 - Citric acid,E412 - Guar gum,E954 - Saccharin and its salts,E955 - Sucralose",5.0,,,4.0,,not-applicable,,,394.0,7.3,1.7,9.8,7.4,69.0,4.5,1.9,0.76
,,,,,,,,,,,unknown,,,,,,,,,,,
,,,,,,,,,,,unknown,100.0g,100.0,332.299987792969,5.19999980926514,,47.2000007629395,,8.10000038146973,23.2700004577637,,
,,,,,,,,,,,unknown,5.0g,5.0,245.0,9.75,,33.0,,9.02,,,
,,"en:vegan,en:vegetarian",,,,,,,,4.0,c,15 g,15.0,384.0,6.0,0.2,10.3,0.3,74.1,4.9,0.8,0.32
100% Organic Walnut kernels (Juglans regia),"en:walnut-kernel,en:nut,en:tree-nut,en:walnut,en:juglans-regia","en:palm-oil-content-unknown,en:vegan,en:vegetarian",,,,0.0,en:nuts,,1.0,-2.0,b,100g,100.0,,65.8,6.6,13.0,8.31,14.2,3.6,0.01,0.004
"Proteinmischung (99,9%) (Sojaproteinisolat, Sonnenblumenprotein, Hanfsamenprotein, Kürbiskernprotein), L-Tryptophan","en:proteins-mix,en:l-tryptophan,en:amino-acids,en:soy-protein-isolate,en:protein,en:plant-protein,en:soy-protein,en:sunflower-protein,de:hanfsamenprotein,de:kürbiskernprotein","en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian",,,,0.0,en:soybeans,,1.0,,not-applicable,30.0g,30.0,372.0,2.3,1.0,1.2,1.1,86.0,1.2,3.2,1.28
"wheat flour, calcium, iron, niacin, b3, thiamin, b1, wholemeal wheat flour, water, yeast, salt, vinegar, e472e, e481, vegetable oils, rapeseed, sustainable palm, soya flour, calcium propionate, added to inhibit mould growth, ascorbic acid, vitamin c.","en:wheat-flour,en:cereal,en:flour,en:wheat,en:cereal-flour,en:calcium,en:minerals,en:iron,en:e375,en:thiamin,en:vitamins,en:water,en:yeast,en:salt,en:vinegar,en:e472e,en:e481,en:vegetable-oil,en:oil-and-fat,en:vegetable-oil-and-fat,en:rapeseed,en:vegetable,en:root-vegetable,en:palm-oil,en:palm-oil-and-fat,en:soya-flour,en:legume,en:pulse,en:soya,en:soya-bean,en:e282,en:added-to-inhibit-mould-growth,en:e300,en:vitamin-c","en:palm-oil,en:vegan-status-unknown,en:vegetarian-status-unknown",,"en:e282,en:e472e,en:e481","E282 - Calcium propionate,E472e - Mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids,E481 - Sodium stearoyl-2-lactylate",3.0,,,4.0,-7.0,a,1 bagel,,360.0,1.4,0.8,3.4,2.6,83.0,,0.2,0.08
,,,,,,,,,,,unknown,100.0g,100.0,,,,,,,,,
,,,,,,,,,,,unknown,0g,0.0,367.0,2.7,1.0,4.3,1.2,85.4,,,
Air dried bitter raw apricot kernels.,en:air-dried-bitter-raw-apricot-kernels,"en:palm-oil-content-unknown,en:vegan,en:vegetarian",,,,0.0,,,,,unknown,3 seeds (1.8g),1.8,,,,,,,,,
,,,,,,,,,,28.0,e,,,375.0,5.46875,3.125,71.875,14.0625,7.8125,1.5625,2.5,1.0
"Creatine Monohydrate 5000mg, Taurine 1500mg, Beta alanine 1000mg","en:creatine-monohydrate,en:creatine,en:taurine,en:beta-alanine","en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",,,,0.0,,,1.0,,unknown,100.0g,100.0,346.0,7.5,2.40000009536743,21.0,15.0,39.0,19.0,,
